etID  | Input | Output {GOLD}
0      | #blˈit̪um# | #blˈed̪o# {GOLD: #blˈed̪o#}
1      | #blˈɑn̪d̪um# | #blˈɑn̪d̪o# {GOLD: #blˈɑn̪d̪o#}
2      | #blˌɑn̪d̪ˈit̪iɑ# | #blɑn̪d̪ˈiθe̯ʝɑ# {GOLD: #blɑn̪d̪ˈeθɑ#}
3      | #brˈɑkkʰium# | #bɾjˈeθo# {GOLD: #bɾˈɑθo#}
4      | #brˈɑkɑm# | #bɾˈɑɡɑ# {GOLD: #bɾˈɑɡɑ#}
5      | #brˌɑkkʰiˈɑːlem# | #bɾjeθˈɑl# {GOLD: #bɾɑθˈɑl#}
6      | #brˌɑkkʰˈiolum# | #bɾiθjɣʷlo# {GOLD: #bɾɑθwˈelo#}
7      | #bˈellum# | #wʝʎo# {GOLD: #bˈeʝo#}
8      | #bˈen̪e# | #wʝn̪e# {GOLD: #bjˈen̪#}
9      | #bˈiferɑ# | #bˈeβɾɑ# {GOLD: #bɾˈebɑ#}
10     | #bˈon̪um# | #ɣʷn̪o# {GOLD: #bwˈen̪o#}
11     | #bˈowem# | #bwʝe# {GOLD: #bwˈej#}
12     | #bˈukkeum# | #bwˈiθo# {GOLD: #bˈoθo#}
13     | #bˈukkɑm# | #bˈokɑ# {GOLD: #bˈokɑ#}
14     | #bˈurrulɑm# | #bˈorɾlɑ# {GOLD: #bˈoɾlɑ#}
15     | #bˈɑd̪ium# | #bˈɑθo# {GOLD: #bˈɑʝo#}
16     | #bˈɑikɑ# | #bjˈeɡɑ# {GOLD: #bˈeɡɑ#}
17     | #bˈɑlbum# | #bˈobo# {GOLD: #bˈobo#}
18     | #bˈɑllˈist̪ɑ# | #bˈolˈes̪t̪ɑ# {GOLD: #bɑʝˈest̪ɑ#}
19     | #bˈɑln̪eum# | #bˈoɲo# {GOLD: #bˈɑɲo#}
20     | #bˈɑrbɑm# | #bˈɑɾbɑ# {GOLD: #bˈɑɾbɑ#}
